disc_id,original_holdout
P001_L3-L4,train
P001_L4-L5,train
P001_L5-S1,train
P002_L3-L4,train
P002_L4-L5,test
P002_L5-S1,test
P003_L3-L4,test
P003_L4-L5,train
P003_L5-S1,test
P004_L3-L4,train
P004_L4-L5,train
P004_L5-S1,train
P005_L3-L4,train
P005_L4-L5,train
P005_L5-S1,train
P006_L3-L4,train
P006_L4-L5,train
P006_L5-S1,train
P007_L3-L4,train
P007_L4-L5,train
P007_L5-S1,test
P008_L3-L4,train
P008_L4-L5,train
P008_L5-S1,train
P009_L3-L4,train
P009_L4-L5,train
P009_L5-S1,train
P010_L3-L4,train
P010_L4-L5,test
P010_L5-S1,train
P011_L3-L4,test
P011_L4-L5,train
P011_L5-S1,test
P012_L3-L4,train
P012_L4-L5,train
P012_L5-S1,train
P013_L3-L4,train
P013_L4-L5,train
P013_L5-S1,train
P014_L3-L4,train
P014_L4-L5,train
P014_L5-S1,train
P015_L3-L4,train
P015_L4-L5,train
P015_L5-S1,train
P016_L3-L4,train
P016_L4-L5,test
P016_L5-S1,train
P017_L3-L4,train
P017_L4-L5,test
P017_L5-S1,train
P018_L3-L4,train
P018_L4-L5,train
P018_L5-S1,train
P019_L3-L4,train
P019_L4-L5,train
P019_L5-S1,train
P020_L3-L4,train
P020_L4-L5,train
P020_L5-S1,train
P021_L3-L4,train
P021_L4-L5,test
P021_L5-S1,train
P022_L3-L4,train
P022_L4-L5,train
P022_L5-S1,test
P023_L3-L4,train
P023_L4-L5,train
P023_L5-S1,train
P024_L3-L4,train
P024_L4-L5,test
P024_L5-S1,train
P025_L3-L4,test
P025_L4-L5,train
P025_L5-S1,train
P026_L3-L4,train
P026_L4-L5,train
P026_L5-S1,train
P027_L3-L4,train
P027_L4-L5,train
P027_L5-S1,train
P028_L3-L4,train
P028_L4-L5,train
P028_L5-S1,train
P029_L3-L4,train
P029_L4-L5,train
P029_L5-S1,train
P030_L3-L4,test
P030_L4-L5,train
P030_L5-S1,test
P031_L3-L4,test
P031_L4-L5,test
P031_L5-S1,test
P032_L3-L4,test
P032_L4-L5,train
P032_L5-S1,train
P033_L3-L4,train
P033_L4-L5,test
P033_L5-S1,train
P034_L3-L4,train
P034_L4-L5,train
P034_L5-S1,train
P035_L3-L4,train
P035_L4-L5,train
P035_L5-S1,train
P036_L3-L4,train
P036_L4-L5,train
P036_L5-S1,train
P037_L3-L4,train
P037_L4-L5,test
P037_L5-S1,train
P038_L3-L4,train
P038_L4-L5,test
P038_L5-S1,train
P039_L3-L4,train
P039_L4-L5,test
P039_L5-S1,test
P040_L3-L4,test
P040_L4-L5,train
P040_L5-S1,train
P041_L3-L4,train
P041_L4-L5,train
P041_L5-S1,train
P042_L3-L4,train
P042_L4-L5,train
P042_L5-S1,train
P043_L3-L4,train
P043_L4-L5,train
P043_L5-S1,train
P044_L3-L4,train
P044_L4-L5,train
P044_L5-S1,train
P045_L3-L4,train
P045_L4-L5,test
P045_L5-S1,train
P046_L3-L4,train
P046_L4-L5,train
P046_L5-S1,train
P047_L3-L4,train
P047_L4-L5,test
P047_L5-S1,test
