config,class,AUC,AUC_ci_low,AUC_ci_high,n_test_pos,n_test_total,n_boot_valid
3D_primary,1,0.9430555555555555,0.888875550220088,0.985594237695078,6,126,1000
3D_primary,2,0.9453689167974882,0.9045140053373475,0.9770843006132844,35,126,1000
3D_primary,3,0.8759590792838874,0.8063917337046204,0.929349776367797,34,126,1000
3D_primary,4,0.9393689986282578,0.8996689882499459,0.9750900635840818,45,126,1000
3D_primary,5,0.9777777777777776,0.9402777777777778,1.0,6,126,1000
2D_midsagittal,1,0.9194444444444444,0.8537492120745203,0.9752066115702479,6,126,1000
2D_midsagittal,2,0.926530612244898,0.8759746717022971,0.9654940218216507,35,126,1000
2D_midsagittal,3,0.8727621483375959,0.8013683863609433,0.9315313299232737,34,126,1000
2D_midsagittal,4,0.9366255144032922,0.8939543655060896,0.973764009529889,45,126,1000
2D_midsagittal,5,0.925,0.840162546092674,0.9900826446280991,6,126,1000
