Model,Class,AUC,N_test_pos,N_test_total
DecisionTree,1,0.8902777777777778,6,126
DecisionTree,2,0.8888540031397174,35,126
DecisionTree,3,0.7720588235294118,34,126
DecisionTree,4,0.7920438957475995,45,126
DecisionTree,5,0.7979166666666668,6,126
RandomForest,1,0.9618055555555556,6,126
RandomForest,2,0.9453689167974882,35,126
RandomForest,3,0.8834718670076727,34,126
RandomForest,4,0.9429355281207132,45,126
RandomForest,5,0.9736111111111112,6,126
XGBoost,1,0.8152777777777778,6,126
XGBoost,2,0.9350078492935635,35,126
XGBoost,3,0.8842710997442454,34,126
XGBoost,4,0.9374485596707818,45,126
XGBoost,5,0.9180555555555556,6,126
Lasso,1,0.6958333333333333,6,126
Lasso,2,0.8919937205651491,35,126
Lasso,3,0.7806905370843988,34,126
Lasso,4,0.9259259259259258,45,126
Lasso,5,0.9472222222222222,6,126
Ridge,1,0.8638888888888888,6,126
Ridge,2,0.9029827315541601,35,126
Ridge,3,0.8136189258312021,34,126
Ridge,4,0.9292181069958848,45,126
Ridge,5,0.9569444444444444,6,126
NeuralNetwork,1,0.8916666666666666,6,126
NeuralNetwork,2,0.9158555729984301,35,126
NeuralNetwork,3,0.7982736572890026,34,126
NeuralNetwork,4,0.9278463648834019,45,126
NeuralNetwork,5,0.9375,6,126
MultinomialLogistic,1,0.8277777777777777,6,126
MultinomialLogistic,2,0.8951334379905808,35,126
MultinomialLogistic,3,0.782608695652174,34,126
MultinomialLogistic,4,0.9212620027434842,45,126
MultinomialLogistic,5,0.9555555555555556,6,126
KNN,1,0.7666666666666666,6,126
KNN,2,0.9312401883830456,35,126
KNN,3,0.8783567774936061,34,126
KNN,4,0.9478737997256514,45,126
KNN,5,0.9048611111111111,6,126
NaiveBayes,1,0.9694444444444444,6,126
NaiveBayes,2,0.9062794348508634,35,126
NaiveBayes,3,0.8225703324808183,34,126
NaiveBayes,4,0.903840877914952,45,126
NaiveBayes,5,0.9708333333333334,6,126
CatBoost,1,0.9430555555555555,6,126
CatBoost,2,0.9453689167974882,35,126
CatBoost,3,0.8759590792838874,34,126
CatBoost,4,0.9393689986282578,45,126
CatBoost,5,0.9777777777777776,6,126
