Model1,Model2,Metric,Value_Model1,Value_Model2,Difference,CI_Lower,CI_Upper,SE,P_Value,Significance,P_bootstrap,Significance_bootstrap,CI_excludes_0
DecisionTree,RandomForest,macro_AUC,0.8282302333722346,0.9414385957185081,-0.11320836234627352,-0.16406844557562927,-0.06640810654715729,0.02601371681593245,1.349801439354259e-05,***,0.0,***,True
DecisionTree,CatBoost,macro_AUC,0.8282302333722346,0.9363060656085933,-0.10807583223635875,-0.15974923275257583,-0.06358758324327997,0.025536121687276335,2.3134160528126557e-05,***,0.0,***,True
RandomForest,Lasso,macro_AUC,0.9414385957185081,0.8483331478262057,0.09310544789230235,0.03807552021317629,0.1501129400392327,0.02839404973547605,0.0010415797127143467,**,0.0,***,True
RandomForest,MultinomialLogistic,macro_AUC,0.9414385957185081,0.8764674939439144,0.06497110177459364,0.02912202990418601,0.10743895940484867,0.019917168403098182,0.0011060370439559541,**,0.0,***,True
DecisionTree,NaiveBayes,macro_AUC,0.8282302333722346,0.9145936846048823,-0.08636345123264777,-0.13819693331546845,-0.036621483578651186,0.026475406450321884,0.0011061918839680995,**,0.0,***,True
RandomForest,NeuralNetwork,macro_AUC,0.9414385957185081,0.8942284523675003,0.047210143351007816,0.018602583630822598,0.07634719096845001,0.015064194746910581,0.001724815479893227,**,0.0,***,True
MultinomialLogistic,CatBoost,macro_AUC,0.8764674939439144,0.9363060656085933,-0.059838571664678875,-0.09847318842732103,-0.0249227921662775,0.01912867023550818,0.0017587215319045946,**,0.0,***,True
RandomForest,Ridge,macro_AUC,0.9414385957185081,0.893330619542916,0.04810797617559204,0.020794454144929593,0.08118027619705101,0.015508575368325297,0.0019220224216771609,**,0.0,***,True
Lasso,CatBoost,macro_AUC,0.8483331478262057,0.9363060656085933,-0.08797291778238758,-0.14539920190987693,-0.0331612346741052,0.02841971401425882,0.001964885287878859,**,0.002,**,True
Ridge,CatBoost,macro_AUC,0.893330619542916,0.9363060656085933,-0.04297544606567727,-0.07302154026637923,-0.016534794667826095,0.0147215439469761,0.003509069064823178,**,0.004,**,True
NeuralNetwork,CatBoost,macro_AUC,0.8942284523675003,0.9363060656085933,-0.04207761324109305,-0.07161336295779713,-0.014754898494724288,0.015035924822304505,0.005134503538508861,**,0.004,**,True
RandomForest,XGBoost,macro_AUC,0.9414385957185081,0.8980121684083848,0.04342642731012325,0.015352620357276997,0.07677941517785486,0.015972505012631956,0.006551449048317615,**,0.0,***,True
Ridge,MultinomialLogistic,macro_AUC,0.893330619542916,0.8764674939439144,0.016863125599001605,0.004863371396906824,0.029947733269294643,0.006310911076438023,0.0075387432927980225,**,0.006,**,True
