,DecisionTree,RandomForest,XGBoost,Lasso,Ridge,NeuralNetwork,MultinomialLogistic,KNN,NaiveBayes,CatBoost
DecisionTree,1.0,0.0,0.026,0.584,0.02,0.018,0.108,0.116,0.0,0.0
RandomForest,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.43
XGBoost,0.026,0.0,1.0,0.026,0.754,0.838,0.194,0.38,0.438,0.01
Lasso,0.584,0.0,0.026,1.0,0.006,0.186,0.052,0.082,0.026,0.002
Ridge,0.02,0.0,0.754,0.006,1.0,0.94,0.006,0.7,0.232,0.004
NeuralNetwork,0.018,0.0,0.838,0.186,0.94,1.0,0.48,0.836,0.156,0.004
MultinomialLogistic,0.108,0.0,0.194,0.052,0.006,0.48,1.0,0.602,0.076,0.0
KNN,0.116,0.008,0.38,0.082,0.7,0.836,0.602,1.0,0.324,0.032
NaiveBayes,0.0,0.012,0.438,0.026,0.232,0.156,0.076,0.324,1.0,0.048
CatBoost,0.0,0.43,0.01,0.002,0.004,0.004,0.0,0.032,0.048,1.0
