,DecisionTree,RandomForest,XGBoost,Lasso,Ridge,NeuralNetwork,MultinomialLogistic,KNN,NaiveBayes,CatBoost
DecisionTree,1.0,1.349801439354259e-05,0.024423914124073853,0.5795854984604702,0.023297701794649406,0.02525089788630641,0.1181918233602941,0.11183203708358436,0.0011061918839680995,2.3134160528126557e-05
RandomForest,1.349801439354259e-05,1.0,0.006551449048317615,0.0010415797127143467,0.0019220224216771609,0.001724815479893227,0.0011060370439559541,0.02684462712530067,0.016255789704147316,0.39187903112771094
XGBoost,0.024423914124073853,0.006551449048317615,1.0,0.03697593433948976,0.749704678871574,0.8696560150199049,0.20722539813824192,0.38019222828395893,0.42181481640611707,0.015116727076307956
Lasso,0.5795854984604702,0.0010415797127143467,0.03697593433948976,1.0,0.011329561232992447,0.17508702027194079,0.0584989916480716,0.11926499950321845,0.030642111993192778,0.001964885287878859
Ridge,0.023297701794649406,0.0019220224216771609,0.749704678871574,0.011329561232992447,1.0,0.9668841164199382,0.0075387432927980225,0.7026875322074035,0.23912508824839374,0.003509069064823178
NeuralNetwork,0.02525089788630641,0.001724815479893227,0.8696560150199049,0.17508702027194079,0.9668841164199382,1.0,0.49298391602743097,0.7834417290352598,0.15323088591020495,0.005134503538508861
MultinomialLogistic,0.1181918233602941,0.0011060370439559541,0.20722539813824192,0.0584989916480716,0.0075387432927980225,0.49298391602743097,1.0,0.6378246096988596,0.08549029814698894,0.0017587215319045946
KNN,0.11183203708358436,0.02684462712530067,0.38019222828395893,0.11926499950321845,0.7026875322074035,0.7834417290352598,0.6378246096988596,1.0,0.31532885524914267,0.04314734409499277
NaiveBayes,0.0011061918839680995,0.016255789704147316,0.42181481640611707,0.030642111993192778,0.23912508824839374,0.15323088591020495,0.08549029814698894,0.31532885524914267,1.0,0.03582658097294944
CatBoost,2.3134160528126557e-05,0.39187903112771094,0.015116727076307956,0.001964885287878859,0.003509069064823178,0.005134503538508861,0.0017587215319045946,0.04314734409499277,0.03582658097294944,1.0
