Model1,Model2,Metric,Value_Model1,Value_Model2,Difference,CI_Lower,CI_Upper,SE,P_Value,Significance,P_bootstrap,Significance_bootstrap,CI_excludes_0
KNN,NaiveBayes,macro_sensitivity,0.46969187675070023,0.7490756302521009,-0.27938375350140066,-0.3510476036371176,-0.19615740879155275,0.04068693080469698,6.571854171966152e-12,***,0.0,***,True
NeuralNetwork,NaiveBayes,macro_sensitivity,0.5373109243697479,0.7490756302521009,-0.21176470588235297,-0.31319724458328335,-0.12599667073969256,0.04819804300378655,1.1146987817456377e-05,***,0.0,***,True
RandomForest,NaiveBayes,macro_sensitivity,0.5593650793650793,0.7490756302521009,-0.1897105508870216,-0.29174375359366755,-0.10427193757681569,0.047648923488750425,6.850372613453892e-05,***,0.0,***,True
MultinomialLogistic,NaiveBayes,macro_sensitivity,0.516358543417367,0.7490756302521009,-0.2327170868347339,-0.36018091971841965,-0.09733840083875951,0.06496206643323935,0.00034051256767719806,***,0.004,**,True
XGBoost,NaiveBayes,macro_sensitivity,0.5452847805788982,0.7490756302521009,-0.2037908496732027,-0.3125392156862745,-0.08318190673705399,0.057721429946053185,0.00041462995199048613,***,0.002,**,True
DecisionTree,NaiveBayes,macro_sensitivity,0.5199253034547152,0.7490756302521009,-0.22915032679738567,-0.35966302117992593,-0.09232783882783883,0.06839994693107541,0.0008076676673929306,***,0.002,**,True
KNN,CatBoost,macro_sensitivity,0.46969187675070023,0.6392717086834734,-0.16957983193277315,-0.2856840262408012,-0.05932386629266013,0.056885157314624166,0.0028722340544318214,**,0.006,**,True
Lasso,NaiveBayes,macro_sensitivity,0.5787488328664799,0.7490756302521009,-0.17032679738562095,-0.28502696852696846,-0.05682334224012187,0.058487207311945934,0.0035888584081942287,**,0.01,*,True
Ridge,NaiveBayes,macro_sensitivity,0.5830438842203548,0.7490756302521009,-0.16603174603174609,-0.28169462294245484,-0.047513447383012615,0.061387474498635866,0.006837601173071972,**,0.018,*,True
MultinomialLogistic,CatBoost,macro_sensitivity,0.516358543417367,0.6392717086834734,-0.1229131652661064,-0.23028472222222227,-0.03264713627386436,0.04935169141144467,0.012754329195154623,*,0.004,**,True
Lasso,CatBoost,macro_sensitivity,0.5787488328664799,0.6392717086834734,-0.06052287581699345,-0.11360099995227614,-0.006785954948016963,0.028068670275344054,0.031064689902772002,*,0.02,*,True
NaiveBayes,CatBoost,macro_sensitivity,0.7490756302521009,0.6392717086834734,0.1098039215686275,-0.0002635560593182138,0.21166471990417599,0.05319353448428149,0.038995501256667175,*,0.052,ns,False
NeuralNetwork,CatBoost,macro_sensitivity,0.5373109243697479,0.6392717086834734,-0.10196078431372546,-0.21318653155706743,-0.02104388971218605,0.05071633601417549,0.04438748929699754,*,0.01,*,True
