,DecisionTree,RandomForest,XGBoost,Lasso,Ridge,NeuralNetwork,MultinomialLogistic,KNN,NaiveBayes,CatBoost
DecisionTree,1.0,0.6156595630339747,0.6447060678323235,0.35535654953134066,0.2675363565723834,0.8242256692160075,0.9595600846306109,0.43870911540474866,0.0008076676673929306,0.047907138780853176
RandomForest,0.6156595630339747,1.0,0.8035307158987384,0.7190318795066637,0.7180138886166778,0.23032729607687408,0.4167486334762496,0.06087203675121744,6.850372613453892e-05,0.11446634130467492
XGBoost,0.6447060678323235,0.8035307158987384,1.0,0.5155862800388822,0.43867623192402627,0.8847587053999499,0.48090601908949004,0.11783647838872802,0.00041462995199048613,0.05598017863582139
Lasso,0.35535654953134066,0.7190318795066637,0.5155862800388822,1.0,0.906472924938948,0.443934750232303,0.15944726601016557,0.06656970562700626,0.0035888584081942287,0.031064689902772002
Ridge,0.2675363565723834,0.7180138886166778,0.43867623192402627,0.906472924938948,1.0,0.48780489179094655,0.0716627779483503,0.059796513183523636,0.006837601173071972,0.18051882960369126
NeuralNetwork,0.8242256692160075,0.23032729607687408,0.8847587053999499,0.443934750232303,0.48780489179094655,1.0,0.6911515164087239,0.1541208510120735,1.1146987817456377e-05,0.04438748929699754
MultinomialLogistic,0.9595600846306109,0.4167486334762496,0.48090601908949004,0.15944726601016557,0.0716627779483503,0.6911515164087239,1.0,0.4341736309963746,0.00034051256767719806,0.012754329195154623
KNN,0.43870911540474866,0.06087203675121744,0.11783647838872802,0.06656970562700626,0.059796513183523636,0.1541208510120735,0.4341736309963746,1.0,6.571854171966152e-12,0.0028722340544318214
NaiveBayes,0.0008076676673929306,6.850372613453892e-05,0.00041462995199048613,0.0035888584081942287,0.006837601173071972,1.1146987817456377e-05,0.00034051256767719806,6.571854171966152e-12,1.0,0.038995501256667175
CatBoost,0.047907138780853176,0.11446634130467492,0.05598017863582139,0.031064689902772002,0.18051882960369126,0.04438748929699754,0.012754329195154623,0.0028722340544318214,0.038995501256667175,1.0
