config,class,AUC,n_test_pos,n_test_total
simple_core,1,0.95,6,126
simple_core,2,0.9281004709576138,35,126
simple_core,3,0.7327365728900256,34,126
simple_core,4,0.8886145404663923,45,126
simple_core,5,0.9944444444444444,6,126
simple_plus,1,0.9666666666666667,6,126
simple_plus,2,0.9287284144427002,35,126
simple_plus,3,0.7074808184143222,34,126
simple_plus,4,0.8705075445816187,45,126
simple_plus,5,0.9805555555555555,6,126
radiomics3d_plus_simple,1,0.9416666666666668,6,126
radiomics3d_plus_simple,2,0.9453689167974882,35,126
radiomics3d_plus_simple,3,0.8778772378516624,34,126
radiomics3d_plus_simple,4,0.937997256515775,45,126
radiomics3d_plus_simple,5,0.9680555555555556,6,126
