feature,importance,config
sphericity_2d,36.78222469708919,simple_core
disc_csf_mean_ratio,36.40656112135947,simple_core
delta_peak_si_norm,12.770819573354272,simple_core
area_mm2,9.318293990679622,simple_core
dhi,4.722100617517427,simple_core
sphericity_2d,34.043735220153536,simple_plus
disc_csf_mean_ratio,31.402972543146923,simple_plus
delta_peak_si,9.203179699911372,simple_plus
area_mm2,7.357570135646115,simple_plus
delta_peak_si_norm,6.868642243605787,simple_plus
peak_si_disc,5.210561700176875,simple_plus
dhi,3.864727348450839,simple_plus
disc_height_mm,2.0486111089085424,simple_plus
original_shape_Flatness,6.453642725495016,radiomics3d_plus_simple
lbp-3D-k_glrlm_RunLengthNonUniformity,4.876970852754807,radiomics3d_plus_simple
lbp-3D-m2_glrlm_RunEntropy,3.1389215256778358,radiomics3d_plus_simple
lbp-3D-m2_glcm_DifferenceVariance,2.9720459207272447,radiomics3d_plus_simple
wavelet-LLL_glcm_Correlation,2.82211049499694,radiomics3d_plus_simple
logarithm_glcm_SumEntropy,2.3830942571465545,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_Correlation,2.3402983618574744,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Variance,2.225629010019045,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_firstorder_Minimum,2.111805495801927,radiomics3d_plus_simple
logarithm_firstorder_Kurtosis,1.846529175032329,radiomics3d_plus_simple
square_glcm_Correlation,1.8102550352153657,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_ClusterProminence,1.7737440204897232,radiomics3d_plus_simple
lbp-3D-k_gldm_DependenceNonUniformityNormalized,1.7597711363847446,radiomics3d_plus_simple
sphericity_2d,1.4892399448502351,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_JointEntropy,1.4602732577175088,radiomics3d_plus_simple
original_glcm_Imc2,1.2958504628726095,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_firstorder_Median,1.2307119249309215,radiomics3d_plus_simple
squareroot_firstorder_Variance,1.2219705288549534,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_Correlation,1.1988806962510492,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_MCC,1.0833173384501527,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glcm_Imc2,1.0677885376152396,radiomics3d_plus_simple
logarithm_firstorder_Mean,1.0412004880058143,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.9474950828029656,radiomics3d_plus_simple
original_shape_Sphericity,0.9473737914076708,radiomics3d_plus_simple
wavelet-LHL_firstorder_Median,0.932068765808151,radiomics3d_plus_simple
gradient_firstorder_10Percentile,0.9129105963951702,radiomics3d_plus_simple
lbp-3D-m2_glcm_JointEntropy,0.9019108034716092,radiomics3d_plus_simple
logarithm_glcm_Correlation,0.8738508227054754,radiomics3d_plus_simple
wavelet-LLL_glcm_ClusterProminence,0.8726904157629695,radiomics3d_plus_simple
lbp-3D-m1_firstorder_Kurtosis,0.8653912848075073,radiomics3d_plus_simple
lbp-3D-m2_firstorder_Skewness,0.8433008204288298,radiomics3d_plus_simple
square_glcm_Imc2,0.7960363134399087,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.7859381885344412,radiomics3d_plus_simple
wavelet-LLL_firstorder_Skewness,0.7720667407371622,radiomics3d_plus_simple
lbp-3D-m1_glcm_JointEntropy,0.7304878968476164,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.7261932759039944,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.693433450978459,radiomics3d_plus_simple
squareroot_firstorder_Kurtosis,0.6833733627793361,radiomics3d_plus_simple
lbp-3D-m2_glcm_ClusterShade,0.6644988081641232,radiomics3d_plus_simple
square_gldm_LargeDependenceLowGrayLevelEmphasis,0.6514839571898501,radiomics3d_plus_simple
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,0.6489980104472762,radiomics3d_plus_simple
lbp-3D-m2_glcm_Idn,0.6473480709253574,radiomics3d_plus_simple
square_firstorder_10Percentile,0.628721147678412,radiomics3d_plus_simple
lbp-3D-m2_firstorder_InterquartileRange,0.5957815263715868,radiomics3d_plus_simple
gradient_glszm_SizeZoneNonUniformity,0.5829259516084873,radiomics3d_plus_simple
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.5810743818244193,radiomics3d_plus_simple
square_firstorder_Median,0.5436750877426522,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glcm_Imc1,0.5283925706223875,radiomics3d_plus_simple
lbp-3D-m1_glcm_Autocorrelation,0.5208483172585587,radiomics3d_plus_simple
lbp-3D-m2_glcm_Autocorrelation,0.5186125186173451,radiomics3d_plus_simple
logarithm_glcm_ClusterProminence,0.5172763570170287,radiomics3d_plus_simple
original_glcm_Contrast,0.5094610652937379,radiomics3d_plus_simple
lbp-3D-k_glszm_ZoneEntropy,0.5069341922211864,radiomics3d_plus_simple
wavelet-LLL_firstorder_InterquartileRange,0.49471671764198044,radiomics3d_plus_simple
gradient_glcm_Idn,0.4886875035527535,radiomics3d_plus_simple
lbp-3D-k_glrlm_HighGrayLevelRunEmphasis,0.48585233170964287,radiomics3d_plus_simple
gradient_firstorder_Kurtosis,0.4711538016718872,radiomics3d_plus_simple
lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis,0.4657303236193065,radiomics3d_plus_simple
gradient_glszm_LargeAreaHighGrayLevelEmphasis,0.4603637126546241,radiomics3d_plus_simple
original_shape_MajorAxisLength,0.45659603186326125,radiomics3d_plus_simple
wavelet-HLL_glcm_JointEntropy,0.455443365027442,radiomics3d_plus_simple
lbp-3D-k_gldm_DependenceEntropy,0.45157439784220227,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.44942889784390244,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.4269357914812105,radiomics3d_plus_simple
lbp-3D-k_glszm_HighGrayLevelZoneEmphasis,0.42020554901090873,radiomics3d_plus_simple
original_firstorder_Kurtosis,0.4119251030082058,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_glszm_GrayLevelNonUniformity,0.40983088157186065,radiomics3d_plus_simple
wavelet-LLL_glcm_Imc2,0.40772660255629134,radiomics3d_plus_simple
gradient_glszm_LargeAreaLowGrayLevelEmphasis,0.4026675989581445,radiomics3d_plus_simple
logarithm_firstorder_TotalEnergy,0.3954855049149496,radiomics3d_plus_simple
wavelet-LLL_glcm_ClusterShade,0.38906083668404107,radiomics3d_plus_simple
exponential_gldm_DependenceVariance,0.38102796495363483,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.37786594958582886,radiomics3d_plus_simple
gradient_firstorder_InterquartileRange,0.37658220483502686,radiomics3d_plus_simple
wavelet-LLL_firstorder_Uniformity,0.36515472078770084,radiomics3d_plus_simple
original_glcm_MCC,0.35693731457325706,radiomics3d_plus_simple
lbp-3D-k_firstorder_10Percentile,0.3517731510257149,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.3396212660864987,radiomics3d_plus_simple
wavelet-HHH_glszm_LargeAreaEmphasis,0.3250315616790649,radiomics3d_plus_simple
gradient_glcm_JointEntropy,0.3152659330313362,radiomics3d_plus_simple
lbp-3D-m2_gldm_LargeDependenceLowGrayLevelEmphasis,0.3012618834729304,radiomics3d_plus_simple
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.29895321840571104,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.2974576778650996,radiomics3d_plus_simple
lbp-3D-m1_firstorder_Variance,0.2972490529192462,radiomics3d_plus_simple
wavelet-LLH_glcm_ClusterShade,0.29545585180371653,radiomics3d_plus_simple
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.29503070825081196,radiomics3d_plus_simple
exponential_glrlm_RunLengthNonUniformity,0.28639077597475276,radiomics3d_plus_simple
wavelet-HHH_glcm_JointEntropy,0.28385031703535557,radiomics3d_plus_simple
lbp-3D-m1_gldm_DependenceEntropy,0.2829511472765593,radiomics3d_plus_simple
lbp-3D-m2_glszm_GrayLevelNonUniformityNormalized,0.28229821902016655,radiomics3d_plus_simple
wavelet-LLL_glcm_Contrast,0.28008253320677884,radiomics3d_plus_simple
original_glrlm_LongRunLowGrayLevelEmphasis,0.27930093074190493,radiomics3d_plus_simple
gradient_glszm_ZonePercentage,0.27526283134050916,radiomics3d_plus_simple
exponential_firstorder_90Percentile,0.2742501881899199,radiomics3d_plus_simple
wavelet-HHH_glszm_SizeZoneNonUniformity,0.2716418938301063,radiomics3d_plus_simple
wavelet-LLH_firstorder_Skewness,0.2669474028604038,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_Imc2,0.2634679414386358,radiomics3d_plus_simple
wavelet-LLH_gldm_LargeDependenceEmphasis,0.26171213085699707,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glcm_MaximumProbability,0.2590045015455926,radiomics3d_plus_simple
exponential_firstorder_Kurtosis,0.2583796678365131,radiomics3d_plus_simple
original_glszm_SizeZoneNonUniformityNormalized,0.2543471201102617,radiomics3d_plus_simple
logarithm_glszm_SizeZoneNonUniformity,0.25414460314794907,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_firstorder_90Percentile,0.2493954847969846,radiomics3d_plus_simple
lbp-3D-k_firstorder_90Percentile,0.2484122249620305,radiomics3d_plus_simple
wavelet-LLH_glcm_Correlation,0.22911011010267168,radiomics3d_plus_simple
wavelet-HHH_glcm_Imc2,0.22277143390591653,radiomics3d_plus_simple
wavelet-HLH_gldm_DependenceEntropy,0.2189835230400731,radiomics3d_plus_simple
log-sigma-4-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.21863262023626043,radiomics3d_plus_simple
lbp-3D-m1_glrlm_LongRunLowGrayLevelEmphasis,0.21832038389784725,radiomics3d_plus_simple
lbp-3D-k_glszm_GrayLevelVariance,0.21606400914283477,radiomics3d_plus_simple
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.2133806561642844,radiomics3d_plus_simple
wavelet-LLL_firstorder_Mean,0.21259365738141664,radiomics3d_plus_simple
wavelet-LLL_gldm_LargeDependenceEmphasis,0.20674213197677496,radiomics3d_plus_simple
exponential_glrlm_RunVariance,0.2049855836122646,radiomics3d_plus_simple
dhi,0.20223378613832113,radiomics3d_plus_simple
log-sigma-5-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.20065471091248263,radiomics3d_plus_simple
lbp-3D-m2_glcm_MaximumProbability,0.19063672896087938,radiomics3d_plus_simple
lbp-3D-m1_glcm_InverseVariance,0.18447621379178322,radiomics3d_plus_simple
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.18359955568215913,radiomics3d_plus_simple
gradient_glrlm_LongRunLowGrayLevelEmphasis,0.18304999168149783,radiomics3d_plus_simple
original_shape_LeastAxisLength,0.18241418295740142,radiomics3d_plus_simple
lbp-3D-m2_glszm_LowGrayLevelZoneEmphasis,0.17906059516329326,radiomics3d_plus_simple
log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,0.1743543988098639,radiomics3d_plus_simple
