config,class,AUC,n_test_pos,n_test_total
vision_radimagenet_official_imagenet_mean_std_reduced,1,0.8847222222222222,6,126
vision_radimagenet_official_imagenet_mean_std_reduced,2,0.8414442700156985,35,126
vision_radimagenet_official_imagenet_mean_std_reduced,3,0.5907928388746803,34,126
vision_radimagenet_official_imagenet_mean_std_reduced,4,0.8655692729766804,45,126
vision_radimagenet_official_imagenet_mean_std_reduced,5,0.7763888888888888,6,126
vision_radimagenet_official_imagenet_mean_std_topvar512,1,0.8583333333333333,6,126
vision_radimagenet_official_imagenet_mean_std_topvar512,2,0.8339089481946625,35,126
vision_radimagenet_official_imagenet_mean_std_topvar512,3,0.5828005115089514,34,126
vision_radimagenet_official_imagenet_mean_std_topvar512,4,0.8537722908093279,45,126
vision_radimagenet_official_imagenet_mean_std_topvar512,5,0.8125,6,126
