Model1,Model2,Metric,Value_Model1,Value_Model2,Difference,CI_Lower,CI_Upper,SE,P_Value,Significance,P_bootstrap,Significance_bootstrap,CI_excludes_0
3D_radiomics,MeshVolume,macro_AUC,0.9363060656085933,0.5520691485989224,0.3842369170096709,0.31553002798191965,0.45267932519404136,0.034418667228537855,0.0,***,0.0,***,True
2D_radiomics,MeshVolume,macro_AUC,0.916072543886046,0.5520691485989224,0.36400339528712355,0.29603952159619085,0.43413434521180333,0.03461663265871216,0.0,***,0.0,***,True
CNN_RadImageNet,MeshVolume,macro_AUC,0.8740116654586743,0.5520691485989224,0.32194251685975184,0.24098412392107188,0.3986375419999907,0.03897062827159681,2.220446049250313e-16,***,0.0,***,True
CNN_ImageNet,MeshVolume,macro_AUC,0.8643740039886468,0.5520691485989224,0.3123048553897244,0.22966887546785408,0.38437629838282894,0.03926993897806666,1.7763568394002505e-15,***,0.0,***,True
3D_radiomics,disc_csf_ratio,macro_AUC,0.9363060656085933,0.7599459006457917,0.1763601649628016,0.12079673552902236,0.22648147700197865,0.02683858349369855,4.9930504175677015e-11,***,0.0,***,True
2D_radiomics,disc_csf_ratio,macro_AUC,0.916072543886046,0.7599459006457917,0.15612664324025427,0.09910567566874982,0.20757259742521883,0.02820523544244553,3.1055762406140275e-08,***,0.0,***,True
disc_csf_ratio,MeshVolume,macro_AUC,0.7599459006457917,0.5520691485989224,0.20787675204686928,0.13431834568396098,0.2874760974372845,0.03933622050551954,1.2596990184299273e-07,***,0.0,***,True
CNN_ImageNet,disc_csf_ratio,macro_AUC,0.8643740039886468,0.7599459006457917,0.10442810334285513,0.050936292714617686,0.15878535947342232,0.027435878558144763,0.00014108373064436464,***,0.0,***,True
3D_radiomics,CNN_ImageNet,macro_AUC,0.9363060656085933,0.8643740039886468,0.07193206161994647,0.03409759862734389,0.11020091146396356,0.01943625563794639,0.0002148177014327235,***,0.0,***,True
CNN_RadImageNet,disc_csf_ratio,macro_AUC,0.8740116654586743,0.7599459006457917,0.11406576481288255,0.05034258463768296,0.17037803205839752,0.03088269703050427,0.00022117376410180078,***,0.0,***,True
3D_radiomics,CNN_RadImageNet,macro_AUC,0.9363060656085933,0.8740116654586743,0.06229440014991905,0.030332518062648722,0.09894659690800778,0.01768425158612329,0.00042734896452234494,***,0.0,***,True
2D_radiomics,CNN_RadImageNet,macro_AUC,0.916072543886046,0.8740116654586743,0.04206087842737172,0.008253726346044944,0.07692069810938804,0.01766116519729385,0.017240134511367522,*,0.008,**,True
2D_radiomics,CNN_ImageNet,macro_AUC,0.916072543886046,0.8643740039886468,0.05169853989739914,0.0044186640862165375,0.09470501709189603,0.02275184045277656,0.023069636171527907,*,0.032,*,True
3D_radiomics,2D_radiomics,macro_AUC,0.9363060656085933,0.916072543886046,0.020233521722547332,-0.0017716703487103524,0.04321393575181054,0.011503416008712325,0.07859208355078628,ns,0.084,ns,False
CNN_RadImageNet,CNN_ImageNet,macro_AUC,0.8740116654586743,0.8643740039886468,0.009637661470027425,-0.035181251468321954,0.05165775130282017,0.022846586983192033,0.6731399789597503,ns,0.632,ns,False
