feature,ICC,n,k_conditions,feature_class,pass_0.75,pass_0.90
original_shape_Elongation,0.8136492344719043,629,3,shape,True,False
original_shape_Flatness,0.4588223557950204,629,3,shape,False,False
original_shape_LeastAxisLength,0.3054974104532341,629,3,shape,False,False
original_shape_MajorAxisLength,0.7511712910902691,629,3,shape,True,False
original_shape_Maximum2DDiameterColumn,0.7175467161338394,629,3,shape,False,False
original_shape_Maximum2DDiameterRow,0.6990422121169203,629,3,shape,False,False
original_shape_Maximum2DDiameterSlice,0.7292615486577206,629,3,shape,False,False
original_shape_Maximum3DDiameter,0.7517335438533708,629,3,shape,True,False
original_shape_MeshVolume,0.3306577895312983,629,3,shape,False,False
original_shape_MinorAxisLength,0.737986322854803,629,3,shape,False,False
original_shape_Sphericity,0.5091278991222791,629,3,shape,False,False
original_shape_SurfaceArea,0.5255159539490144,629,3,shape,False,False
original_shape_SurfaceVolumeRatio,0.2946601852308742,629,3,shape,False,False
original_shape_VoxelVolume,0.3340078597606462,629,3,shape,False,False
original_firstorder_10Percentile,0.9227952993107454,629,3,firstorder,True,True
original_firstorder_90Percentile,0.8583402527793559,629,3,firstorder,True,False
original_firstorder_Energy,0.619715583827284,629,3,firstorder,False,False
original_firstorder_Entropy,0.7634609210945883,629,3,firstorder,True,False
original_firstorder_InterquartileRange,0.8572083839543132,629,3,firstorder,True,False
original_firstorder_Kurtosis,0.47589695602293275,629,3,firstorder,False,False
original_firstorder_Maximum,0.48975984408448603,629,3,firstorder,False,False
original_firstorder_MeanAbsoluteDeviation,0.8244051435603355,629,3,firstorder,True,False
original_firstorder_Mean,0.8828415345350497,629,3,firstorder,True,False
original_firstorder_Median,0.8149550180494127,629,3,firstorder,True,False
original_firstorder_Minimum,0.9259245762901718,629,3,firstorder,True,True
original_firstorder_Range,0.44931036259628376,629,3,firstorder,False,False
original_firstorder_RobustMeanAbsoluteDeviation,0.8611903368446826,629,3,firstorder,True,False
original_firstorder_RootMeanSquared,0.8911185559103659,629,3,firstorder,True,False
original_firstorder_Skewness,0.4736980897578214,629,3,firstorder,False,False
original_firstorder_TotalEnergy,0.619715583827284,629,3,firstorder,False,False
original_firstorder_Uniformity,0.7598408981092938,629,3,firstorder,True,False
original_firstorder_Variance,0.8486478952717172,629,3,firstorder,True,False
original_glcm_Autocorrelation,0.880106222609834,629,3,glcm,True,False
original_glcm_ClusterProminence,0.958117965357788,629,3,glcm,True,True
original_glcm_ClusterShade,0.47166083498293593,629,3,glcm,False,False
original_glcm_ClusterTendency,0.9412531019586025,629,3,glcm,True,True
