feature,feature_class,n,spearman_rho,spearman_p,abs_rho,in_primary_517
exponential_firstorder_TotalEnergy,firstorder,630,0.999836962171841,0.0,0.999836962171841,False
exponential_firstorder_Energy,firstorder,630,0.999836962171841,0.0,0.999836962171841,False
wavelet-HHH_firstorder_Energy,firstorder,630,0.9998147182882942,0.0,0.9998147182882942,False
wavelet-HHH_firstorder_TotalEnergy,firstorder,630,0.9998147182882942,0.0,0.9998147182882942,False
lbp-3D-k_firstorder_Energy,firstorder,630,0.9997999610192743,0.0,0.9997999610192743,False
lbp-3D-k_firstorder_TotalEnergy,firstorder,630,0.9997999610192743,0.0,0.9997999610192743,False
wavelet-HHL_firstorder_TotalEnergy,firstorder,630,0.9997935542049194,0.0,0.9997935542049194,False
wavelet-HHL_firstorder_Energy,firstorder,630,0.9997935542049194,0.0,0.9997935542049194,False
lbp-3D-m1_firstorder_TotalEnergy,firstorder,630,0.9997806925850907,0.0,0.9997806925850907,False
lbp-3D-m1_firstorder_Energy,firstorder,630,0.9997806925850907,0.0,0.9997806925850907,False
lbp-3D-m2_firstorder_TotalEnergy,firstorder,630,0.9997763013977239,0.0,0.9997763013977239,False
lbp-3D-m2_firstorder_Energy,firstorder,630,0.9997763013977239,0.0,0.9997763013977239,False
wavelet-HLH_firstorder_TotalEnergy,firstorder,630,0.9997556652166556,0.0,0.9997556652166556,False
wavelet-HLH_firstorder_Energy,firstorder,630,0.9997556652166556,0.0,0.9997556652166556,False
wavelet-HLL_firstorder_TotalEnergy,firstorder,630,0.9994009868534334,0.0,0.9994009868534334,False
wavelet-HLL_firstorder_Energy,firstorder,630,0.9994009868534334,0.0,0.9994009868534334,False
wavelet-LHH_firstorder_Energy,firstorder,630,0.9989657074062478,0.0,0.9989657074062478,False
wavelet-LHH_firstorder_TotalEnergy,firstorder,630,0.9989657074062478,0.0,0.9989657074062478,False
wavelet-LLH_glrlm_RunLengthNonUniformity,glrlm,630,0.9987022841553547,0.0,0.9987022841553547,False
gradient_firstorder_Energy,firstorder,630,0.9984571695162698,0.0,0.9984571695162698,False
gradient_firstorder_TotalEnergy,firstorder,630,0.9984571695162698,0.0,0.9984571695162698,False
wavelet-LLL_glrlm_RunLengthNonUniformity,glrlm,630,0.998377048343494,0.0,0.998377048343494,False
