feature,feature_class,n,spearman_rho,spearman_p,abs_rho,in_primary_517
log-sigma-5-0-mm-3D_firstorder_TotalEnergy,firstorder,630,0.9789711196046653,0.0,0.9789711196046653,True
wavelet-LLL_glcm_JointEntropy,glcm,630,0.9471587667986735,0.0,0.9471587667986735,True
original_firstorder_TotalEnergy,firstorder,630,0.9122082987322918,1.5452358442852032e-245,0.9122082987322918,True
wavelet-HLH_glszm_GrayLevelNonUniformity,glszm,630,0.9090251503472234,6.610397950090296e-241,0.9090251503472234,True
wavelet-LLH_glszm_SizeZoneNonUniformity,glszm,630,0.8836844173617765,3.304876727007342e-209,0.8836844173617765,True
lbp-3D-m1_gldm_DependenceNonUniformity,gldm,630,0.8827932222863372,3.1326660168092355e-208,0.8827932222863372,True
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,630,-0.8694972108462135,1.5470564612096224e-194,0.8694972108462135,True
wavelet-HHH_glszm_GrayLevelNonUniformity,glszm,630,0.8597991727410158,1.820405804442553e-185,0.8597991727410158,True
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,glszm,630,0.8424591585081775,7.822410964737436e-171,0.8424591585081775,True
wavelet-HLL_glszm_GrayLevelNonUniformity,glszm,630,0.8400553097677278,6.048027110778493e-169,0.8400553097677278,True
wavelet-LHH_glszm_GrayLevelNonUniformity,glszm,630,0.831340456135238,2.363874087292431e-162,0.831340456135238,True
lbp-3D-k_glszm_ZoneVariance,glszm,630,0.8218085197642789,1.458950532866291e-155,0.8218085197642789,True
wavelet-HHL_glszm_GrayLevelNonUniformity,glszm,630,0.8194621428377814,5.9357055870607715e-154,0.8194621428377814,True
original_shape_SurfaceArea,shape,630,0.8156206052508417,2.2830958193996507e-151,0.8156206052508417,True
wavelet-HLL_gldm_GrayLevelNonUniformity,gldm,630,0.813533015580186,5.47102339089832e-150,0.813533015580186,True
