feature,slope_vs_MeshVolume,intercept,train_r2
logarithm_firstorder_TotalEnergy,335269.50127050356,3193315180.155448,0.048638674323657316
log-sigma-5-0-mm-3D_firstorder_TotalEnergy,1219299.6847708584,125363519.42124176,0.9608286125213897
original_firstorder_TotalEnergy,787320.7025313404,1253966859.2333622,0.815669704579187
logarithm_glcm_ClusterProminence,-54632.3692412767,1477993827.2776577,0.02210229687932741
wavelet-LLL_glcm_ClusterProminence,-3677.1856310232483,108723106.14719206,0.011539790770328295
wavelet-LLH_glcm_ClusterProminence,-18.033680079988553,12866482.384856604,2.5277876540830135e-05
logarithm_glcm_ClusterShade,-58.58295493796152,1380576.9536291691,0.015846914191469885
wavelet-LHH_glcm_ClusterProminence,-52.87395003162064,1283418.1363891102,0.030676930205509878
wavelet-LLL_glcm_ClusterShade,-8.342124013993569,226728.81639915396,0.01660589511686883
exponential_glszm_LargeAreaLowGrayLevelEmphasis,34.13281429285773,-228833.14367369292,0.6623971724579236
log-sigma-3-0-mm-3D_glcm_ClusterProminence,-2.3517174728614463,58799.387837762726,0.032287313215115576
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,-1.2455986435963433,41021.471714342835,0.009981525225743915
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,7.091774813061467,-47600.165293724865,0.3585820833638126
wavelet-LLH_glcm_ClusterShade,-0.27436026157439514,-6038.447192518356,0.0006461369941237471
square_glcm_ClusterProminence,-0.6218872447788765,14353.844746459767,0.003548362728272081
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,3.6045463438925873,-16907.23780906876,0.1422604124385337
squareroot_firstorder_Variance,-1.8702915144038461,51422.7055917331,0.04056177856506182
lbp-3D-m2_glszm_LargeAreaHighGrayLevelEmphasis,4.855946215003366,-16605.04793566157,0.4995101729423469
exponential_glszm_ZoneVariance,1.0373727186995814,-82.05238764215756,0.02360591987496574
wavelet-HLH_glcm_ClusterProminence,0.2865990025041139,15851.256475772338,0.0018777230023471203
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,1.8813825284515553,-9966.506433436372,0.2093727271195408
lbp-3D-k_glszm_ZoneVariance,2.5067524988279413,-14889.161948566987,0.705681692398578
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,1.2232857417450502,-6343.47761097972,0.1830645946416909
lbp-3D-m1_glszm_LargeAreaHighGrayLevelEmphasis,1.7918129920558996,-6973.6047753177645,0.5175542888636051
wavelet-HHH_glcm_ClusterProminence,-0.25700860393659786,8966.509731020164,0.011941160789883165
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.641465526391439,5951.1322291624465,0.07736708724490549
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9239479909936432,-5313.889933628959,0.20792728029265217
log-sigma-5-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.834719397213416,-3831.992742200455,0.2614658041215261
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,-0.06397010568447349,10366.007679944247,0.0015380633073418526
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.4447887573482627,1878.0958723831955,0.0809261639126233
wavelet-HLL_glcm_ClusterShade,-0.36757832261789586,4331.679395544658,0.12975654363043188
square_glszm_LargeAreaHighGrayLevelEmphasis,0.3588752109899895,-1284.9943875307204,0.12962906541359542
gradient_glcm_ClusterProminence,-0.06861136238330554,4772.021030759228,0.004979562442866348
wavelet-HLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.298409486390247,748.9765978984224,0.1208383743161523
wavelet-LHH_firstorder_Variance,-0.16620455407156481,5960.996612704759,0.04478338891749678
wavelet-HHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.24315231532318426,848.5919197164226,0.10080793630016815
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.16056897569551487,740.2756903968022,0.05432707510287926
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.03385925908483123,2210.5270829625088,0.003731648420534195
gradient_glszm_LargeAreaHighGrayLevelEmphasis,0.12178268298603966,106.38955732245404,0.09140251587648696
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.029373005987063383,1802.9003937944885,0.007255252174454774
log-sigma-4-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.0435937674142311,1663.4960551199147,0.019550284288769038
wavelet-LLH_glcm_Contrast,-0.03145564553256646,2368.6298362826565,0.011464003795217392
log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.06242388237084493,1587.4558942527826,0.05017849046151679
original_shape_SurfaceArea,0.18547584425127503,1783.5810917126946,0.6908284476267927
square_glszm_LargeAreaEmphasis,0.0189218780443399,233.41498551540812,0.008199372327323706
wavelet-LLL_glcm_Contrast,-0.027802476511453414,1275.668490910641,0.031579637739208355
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.011137197557495019,-112.37231579359414,0.007964630655070137
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.02435460999403312,375.21482084652473,0.03907749197552812
log-sigma-3-0-mm-3D_glcm_ClusterShade,0.0014819538786122971,121.53765604858606,0.0001642262402130612
logarithm_firstorder_Range,-0.017885179734420765,1219.1324744903586,0.028767831744215266
log-sigma-5-0-mm-3D_glcm_ClusterShade,0.011170912780378761,-234.43657269462386,0.011293050408303307
wavelet-HHH_glrlm_LongRunHighGrayLevelEmphasis,0.013353866610956772,303.47545417628066,0.019045645296376867
exponential_glcm_ClusterProminence,0.0007503849039150875,6.983594912035924,6.038132173158406e-05
wavelet-HLH_firstorder_Variance,-0.008975462178542823,813.0180052424301,0.00975117820998983
lbp-3D-m2_glszm_LargeAreaLowGrayLevelEmphasis,0.06262268582963253,-271.74229896560286,0.5903350063442907
gradient_glszm_LargeAreaEmphasis,0.017765412268421512,-97.55279445823804,0.04925245309553128
square_gldm_LargeDependenceHighGrayLevelEmphasis,0.019324780966027837,184.4291687182004,0.0650096338465378
square_firstorder_Variance,-0.00472298463339504,236.66516100145745,0.004114181311784759
wavelet-LLL_firstorder_Range,-0.009786049222355622,867.778224519854,0.019507096523540324
wavelet-HLH_glcm_ClusterShade,0.010689884253125868,-69.91923340485008,0.0322094248752689
wavelet-HHH_firstorder_Variance,-0.010171427265780644,522.054393405349,0.029409990029802047
original_glcm_Contrast,-0.011629165974276401,338.28922138972837,0.04828168678450684
logarithm_firstorder_Mean,-0.006108742432984753,-252.28999423936486,0.013957254881514336
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.007312563305098696,351.2509257908399,0.02188081085417448
wavelet-LLH_firstorder_Range,0.004891250411014868,654.5461580176941,0.01171556613731306
gradient_gldm_LargeDependenceHighGrayLevelEmphasis,-0.004615997035903967,504.89648706140645,0.012665342527187318
gradient_glszm_LargeAreaLowGrayLevelEmphasis,0.003197949326063137,-13.90672825021932,0.006095873574414545
lbp-3D-m1_glszm_LargeAreaLowGrayLevelEmphasis,0.03448366620211566,-163.23471413133495,0.7187348027184028
gradient_firstorder_Variance,-0.0007409095737655284,342.2418625422427,0.0003318916748181744
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.010534777384665623,-60.406111934042514,0.06710870178476269
wavelet-LHH_firstorder_Range,0.004888734620275194,367.02077083961666,0.014886316854021087
wavelet-LLL_firstorder_Mean,-0.009327295520850539,-53.989844424298454,0.05707054123342603
log-sigma-5-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.002362664996287984,263.2853047936983,0.004679747031309245
original_firstorder_Maximum,-0.004349937892106568,183.545078110973,0.017717330038074408
