feature,feature_class,n,spearman_rho_vs_grade,spearman_p,abs_rho,bonferroni_alpha,significant_bonferroni,importance,importance_rank
exponential_firstorder_90Percentile,firstorder,630,-0.7994300590355264,4.2021851996450415e-141,0.7994300590355264,9.671179883945843e-05,True,0.14554222298734182,133
wavelet-LLL_glcm_Correlation,glcm,630,-0.7897920545852442,1.980134075697922e-135,0.7897920545852442,9.671179883945843e-05,True,2.2216053708356407,7
lbp-3D-k_glrlm_RunLengthNonUniformity,glrlm,630,0.7879046831642051,2.3592942885644098e-134,0.7879046831642051,9.671179883945843e-05,True,0.9629203688322844,33
logarithm_glcm_Correlation,glcm,630,-0.785637238279318,4.478249437538827e-133,0.785637238279318,9.671179883945843e-05,True,1.0931631575208316,26
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,630,-0.7794332428217446,1.1765114362118957e-129,0.7794332428217446,9.671179883945843e-05,True,1.428038927269071,16
squareroot_firstorder_Variance,firstorder,630,-0.7713970016776708,2.1775060346778962e-125,0.7713970016776708,9.671179883945843e-05,True,0.2773811689220627,97
log-sigma-3-0-mm-3D_glcm_ClusterProminence,glcm,630,-0.7700168222063715,1.1305323033474448e-124,0.7700168222063715,9.671179883945843e-05,True,0.33136141355634136,86
log-sigma-4-0-mm-3D_firstorder_Minimum,firstorder,630,0.7623784767540469,8.382963548584749e-121,0.7623784767540469,9.671179883945843e-05,True,3.3362923683811014,4
original_glcm_Imc2,glcm,630,-0.7617130968209741,1.7930830056839845e-120,0.7617130968209741,9.671179883945843e-05,True,0.6749384141915475,41
squareroot_firstorder_Kurtosis,firstorder,630,0.7569118539808998,4.02298629986307e-118,0.7569118539808998,9.671179883945843e-05,True,0.09627115845915239,161
logarithm_glcm_SumEntropy,glcm,630,-0.7567637459882415,4.7445776502089115e-118,0.7567637459882415,9.671179883945843e-05,True,0.0,284
logarithm_glcm_ClusterProminence,glcm,630,-0.7566229277644003,5.549735402075007e-118,0.7566229277644003,9.671179883945843e-05,True,1.469893403829523,14
logarithm_firstorder_Kurtosis,firstorder,630,0.7543342671385418,6.985195891125829e-117,0.7543342671385418,9.671179883945843e-05,True,0.0,399
log-sigma-3-0-mm-3D_glcm_Imc2,glcm,630,-0.7470513607588901,1.8409037342291347e-113,0.7470513607588901,9.671179883945843e-05,True,4.314790387825903,1
log-sigma-4-0-mm-3D_glcm_Imc1,glcm,630,0.7412348290825176,8.201671276648239e-111,0.7412348290825176,9.671179883945843e-05,True,1.2073115455437688,20
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,630,-0.7411756311322953,8.719551128769272e-111,0.7411756311322953,9.671179883945843e-05,True,1.0340115991567285,29
log-sigma-5-0-mm-3D_firstorder_Mean,firstorder,630,0.7372923712833764,4.667541549081859e-109,0.7372923712833764,9.671179883945843e-05,True,0.4484958815458865,61
lbp-3D-m2_firstorder_Skewness,firstorder,630,-0.7371402413493017,5.447301024185914e-109,0.7371402413493017,9.671179883945843e-05,True,0.3846168074774056,72
wavelet-LLH_firstorder_Skewness,firstorder,630,-0.7341401746982865,1.1215324816870682e-107,0.7341401746982865,9.671179883945843e-05,True,0.9798723664988728,32
original_glcm_DifferenceEntropy,glcm,630,-0.7282220890011504,3.8852532172403e-105,0.7282220890011504,9.671179883945843e-05,True,0.3399992685779147,82
lbp-3D-m1_firstorder_Kurtosis,firstorder,630,0.7257417074553996,4.304818031943954e-104,0.7257417074553996,9.671179883945843e-05,True,0.33710988508619544,84
lbp-3D-k_glcm_DifferenceEntropy,glcm,630,0.7191491421827362,2.2655329531352214e-101,0.7191491421827362,9.671179883945843e-05,True,0.18653949237241116,121
wavelet-LLL_firstorder_Mean,firstorder,630,-0.7185398934695558,4.0059293092015734e-101,0.7185398934695558,9.671179883945843e-05,True,0.38211372764178064,75
