feature,short_name,feature_class,importance_rank,importance,n_grade_1,median_grade_1,q25_grade_1,q75_grade_1,n_grade_2,median_grade_2,q25_grade_2,q75_grade_2,n_grade_3,median_grade_3,q25_grade_3,q75_grade_3,n_grade_4,median_grade_4,q25_grade_4,q75_grade_4,n_grade_5,median_grade_5,q25_grade_5,q75_grade_5,spearman_rho_vs_grade,spearman_p,n_spearman,median_trend,best_simple,best_simple_rho
log-sigma-3-0-mm-3D_glcm_Imc2,LoG3mm_glcm_Imc2,glcm,1,4.314790387825903,30,0.9792999651714223,0.9635812084300078,0.9863466063250519,178,0.9607431513357272,0.9413157608326364,0.9739721715129448,167,0.885314355817196,0.8470318681943745,0.9215947546094949,228,0.8180562632217685,0.7794945190834669,0.8552560944697646,27,0.8669214960817749,0.8347864223155124,0.9162667147353865,-0.7470513607588901,1.8409037342291347e-113,630,mixed,disc_csf_mean_ratio,0.578030940439395
original_shape_Flatness,shape_Flatness,shape,2,3.555861898259201,30,0.2391872725279865,0.22406059921960225,0.25257852775421774,178,0.2454546285215235,0.22420136282268902,0.263436724786905,167,0.227077940123731,0.20670196027055449,0.25290247815935296,228,0.215195124112351,0.18342125638071427,0.23893217198089525,27,0.138714823972806,0.1233324013865955,0.157005107772566,-0.4243688894032749,6.233261790130334e-29,630,mixed,sphericity_2d,0.8148993985731766
lbp-3D-m2_firstorder_Variance,LBPm2_firstorder_Variance,firstorder,3,3.4566597404778046,30,14.61825519281783,12.593841415483203,16.16356206259954,178,17.519888821648983,15.523218704300213,19.031183290972947,167,19.63784481989516,17.936258005134384,21.597292998652826,228,17.367637168904942,15.53669483957182,19.41840606986282,27,9.80179081062065,8.407401034016893,12.113538221526934,-0.03472571869751927,0.38422384252730124,630,mixed,area_mm2,0.3375530959234765
log-sigma-4-0-mm-3D_firstorder_Minimum,LoG4mm_firstorder_Minimum,firstorder,4,3.3362923683811014,30,-140.1977310180664,-165.54299545288083,-125.19616508483888,178,-97.75150680541992,-126.17385482788087,-59.69502258300782,167,-3.904049873352051,-24.142855644226074,15.041821002960205,228,15.67120265960693,0.4362974166870117,28.643630027771,27,14.56052684783936,-3.878448963165283,36.75754928588867,0.7623784767540469,8.382963548584749e-121,630,mixed,disc_csf_mean_ratio,-0.6494015317607993
wavelet-LLL_glcm_SumEntropy,wavLLL_glcm_SumEntropy,glcm,5,2.8056355956415238,30,7.344140953648437,7.201926710424948,7.619153128513636,178,7.280805111475017,7.080343339050793,7.471476426781879,167,6.715956601229073,6.500498275497252,6.939480707257614,228,6.532578685074851,6.381636377876495,6.706715275137886,27,6.441066716177945,6.23637864792,6.622902538537028,-0.6840070017258182,4.3416114322244983e-88,630,monotone_down,disc_csf_mean_ratio,0.7071892014645349
lbp-3D-m2_glcm_DifferenceVariance,LBPm2_glcm_DifferenceVariance,glcm,6,2.331368351748674,30,0.5469470525106724,0.5074373751713455,0.5921472858246577,178,0.6290360010989215,0.5813893747313356,0.6785929328534088,167,0.7312604929893877,0.6836548434150606,0.7667246827460499,228,0.7003649697715816,0.654260319124642,0.7427755869817239,27,0.4828671693852419,0.4100582205787663,0.5876966312577901,0.25274181506154136,1.227053632643574e-10,630,mixed,area_mm2,0.277236428835077
wavelet-LLL_glcm_Correlation,wavLLL_glcm_Correlation,glcm,7,2.2216053708356407,30,0.7187553319145663,0.6778195740589116,0.7556181905896273,178,0.7156371189090891,0.651162145124196,0.7484890393578302,167,0.4845884376329081,0.3152663274184836,0.606114823222138,228,0.16959703249280839,0.05396921549750507,0.26207726883046595,27,0.3015170816847253,0.177744619190001,0.40094379744851705,-0.7897920545852442,1.980134075697922e-135,630,mixed,disc_csf_mean_ratio,0.7215073467658508
log-sigma-5-0-mm-3D_glcm_Correlation,LoG5mm_glcm_Correlation,glcm,8,1.968961971802148,30,0.7693020969763348,0.7616976852372921,0.7898769252386755,178,0.7634950869695358,0.7338321402178685,0.7859145705679453,167,0.6223991441589636,0.4944896367132201,0.7040201874671512,228,0.3961533272136597,0.2930166556855085,0.5158974827196537,27,0.5904111594031451,0.5131391363148324,0.6755305514010252,-0.7088329629982504,2.883333524329276e-97,630,mixed,disc_csf_mean_ratio,0.6017282267729305
lbp-3D-m1_glrlm_RunEntropy,LBPm1_glrlm_RunEntropy,glrlm,9,1.9588436960673874,30,2.938589803195099,2.895097189645907,2.976545123016173,178,2.9387786880894846,2.9050386287615573,2.975588242879277,167,2.901608994196087,2.8568899516201345,2.9478314176471976,228,2.853025962242755,2.783874327484825,2.8966134244389488,27,2.674406773860321,2.601899420334573,2.738076082233623,-0.5885923991228653,5.384015480137277e-60,630,mixed,sphericity_2d,0.6086899860767871
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,exp_gldm_SmallDependenceLowGrayLevelEmpha…,gldm,10,1.734627144750165,30,0.00427969511790645,0.00397986425877995,0.00467197558423545,178,0.00413563396279025,0.003724220026371625,0.0046183338133608245,167,0.0037051030339424,0.0034128465555294998,0.004118685966007301,228,0.0037051259899853,0.0034125776475476,0.0043210069929057,27,0.0061067521994451,0.00509826953921355,0.0071810184236953,-0.09403854562160527,0.018230893320099043,630,mixed,area_mm2,-0.7102489073777222
