radiomic_feature,simple_feature,simple_label,spearman_rho,spearman_p,n,abs_rho
log-sigma-3-0-mm-3D_glcm_Imc2,dhi,DHI,-0.08525584697476103,0.032668057498686356,628,0.08525584697476103
log-sigma-3-0-mm-3D_glcm_Imc2,delta_peak_si_norm,norm_peak_SI_diff,-0.2843042317210051,3.5314041811879746e-13,630,0.2843042317210051
log-sigma-3-0-mm-3D_glcm_Imc2,disc_csf_mean_ratio,disc_CSF_ratio,0.578030940439395,1.9313252666105747e-57,630,0.578030940439395
log-sigma-3-0-mm-3D_glcm_Imc2,area_mm2,midsag_area,-0.35488048670650546,3.908155687968865e-20,630,0.35488048670650546
log-sigma-3-0-mm-3D_glcm_Imc2,sphericity_2d,sphericity_2d,0.4406394047001224,2.6151475056242823e-31,630,0.4406394047001224
original_shape_Flatness,dhi,DHI,0.3860366294760334,9.485531000820835e-24,628,0.3860366294760334
original_shape_Flatness,delta_peak_si_norm,norm_peak_SI_diff,-0.3038813859599919,6.321948551946011e-15,630,0.3038813859599919
original_shape_Flatness,disc_csf_mean_ratio,disc_CSF_ratio,0.1889350179361945,1.7891217287915362e-06,630,0.1889350179361945
original_shape_Flatness,area_mm2,midsag_area,0.490853217903452,1.6479646525782432e-39,630,0.490853217903452
original_shape_Flatness,sphericity_2d,sphericity_2d,0.8148993985731766,6.872214416236555e-151,630,0.8148993985731766
lbp-3D-m2_firstorder_Variance,dhi,DHI,0.1936054414480578,1.0165995849060374e-06,628,0.1936054414480578
lbp-3D-m2_firstorder_Variance,delta_peak_si_norm,norm_peak_SI_diff,0.17285703892212753,1.2832343535778785e-05,630,0.17285703892212753
lbp-3D-m2_firstorder_Variance,disc_csf_mean_ratio,disc_CSF_ratio,0.032993450750283294,0.40840172993981727,630,0.032993450750283294
lbp-3D-m2_firstorder_Variance,area_mm2,midsag_area,0.3375530959234765,2.967162685738643e-18,630,0.3375530959234765
lbp-3D-m2_firstorder_Variance,sphericity_2d,sphericity_2d,0.12632578176547243,0.0014870865461588693,630,0.12632578176547243
log-sigma-4-0-mm-3D_firstorder_Minimum,dhi,DHI,0.00963417867078709,0.8095888933035796,628,0.00963417867078709
log-sigma-4-0-mm-3D_firstorder_Minimum,delta_peak_si_norm,norm_peak_SI_diff,0.22265342227428297,1.618415649465427e-08,630,0.22265342227428297
log-sigma-4-0-mm-3D_firstorder_Minimum,disc_csf_mean_ratio,disc_CSF_ratio,-0.6494015317607993,1.0003821245121137e-76,630,0.6494015317607993
log-sigma-4-0-mm-3D_firstorder_Minimum,area_mm2,midsag_area,-0.0788923759943854,0.04777815907284494,630,0.0788923759943854
log-sigma-4-0-mm-3D_firstorder_Minimum,sphericity_2d,sphericity_2d,-0.44781295012779626,2.1270033851253973e-32,630,0.44781295012779626
wavelet-LLL_glcm_SumEntropy,dhi,DHI,-0.0782835613388153,0.049892784882795964,628,0.0782835613388153
wavelet-LLL_glcm_SumEntropy,delta_peak_si_norm,norm_peak_SI_diff,-0.15876382791619373,6.269276582987749e-05,630,0.15876382791619373
wavelet-LLL_glcm_SumEntropy,disc_csf_mean_ratio,disc_CSF_ratio,0.7071892014645349,1.251269956957605e-96,630,0.7071892014645349
