feature,mean_abs_shap_all,mean_abs_shap_test,mean_abs_shap_class_1,mean_abs_shap_class_2,mean_abs_shap_class_3,mean_abs_shap_class_4,mean_abs_shap_class_5,importance,importance_rank,feature_class,shap_rank
log-sigma-3-0-mm-3D_glcm_Imc2,0.09446554006631953,0.09224268446836731,0.1330286905515702,0.10222226284580394,0.07518442869247982,0.11578132186660711,0.046110996375137464,4.314790387825903,1,glcm,1
lbp-3D-m2_firstorder_Variance,0.07158164727231434,0.07081347885350213,0.06824193350652484,0.03422510837667122,0.10624453740940026,0.03731484023724754,0.11188181683172742,3.4566597404778046,3,firstorder,2
log-sigma-4-0-mm-3D_firstorder_Minimum,0.06520408201257533,0.06390793312306282,0.09208025168037028,0.07036997209220934,0.038137967387618044,0.06515519832849684,0.060277020574179,3.3362923683811014,4,firstorder,3
original_shape_Flatness,0.06126658913205853,0.06053670705714784,0.03757439747695317,0.03842984433247027,0.048549575438292185,0.03077967528092998,0.15099945313164634,3.555861898259201,2,shape,4
lbp-3D-m2_glcm_DifferenceVariance,0.06053228576441615,0.060146206659397426,0.0961060578250392,0.011633369494591114,0.09596509993285032,0.04418968028818695,0.054767221281417464,2.331368351748674,6,glcm,5
wavelet-LLL_glcm_Correlation,0.05210834038908079,0.04853470922406732,0.06833836038192692,0.05831992014306545,0.018072767960545695,0.09104173876401239,0.02476891469585492,2.2216053708356407,7,glcm,6
wavelet-LLL_glcm_SumEntropy,0.04542918188389019,0.04565836386485469,0.06547155209624611,0.048101402613480254,0.021752928316143557,0.04980870245110157,0.04201132394248147,2.8056355956415238,5,glcm,7
lbp-3D-m2_glcm_ClusterShade,0.04352222637157448,0.04103689756367657,0.07553117466116505,0.03328532770359268,0.031629294838663904,0.05127114172143352,0.025894192933018315,1.4375075534782698,15,glcm,8
lbp-3D-k_glrlm_RunLengthNonUniformity,0.04195549329998058,0.041862298951958705,0.028839135643394548,0.07599518154276219,0.012554405388340703,0.03781078339558886,0.05457796052982017,0.9629203688322844,33,glrlm,9
log-sigma-4-0-mm-3D_glcm_Imc1,0.03950296518465827,0.0399472251963831,0.052869034741656065,0.04583652041596174,0.029005966507860498,0.05494626440823617,0.014857039849579779,1.2073115455437688,20,glcm,10
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.03944006836295003,0.04096396892114591,0.05688067829350065,0.03635460762368449,0.007624453171928068,0.08505329089521396,0.011287311830422307,1.1190988210038428,25,gldm,11
square_glcm_Correlation,0.03744653966720252,0.03556965698759976,0.08909378455407083,0.005150022863412429,0.0077905641825664765,0.04634968122866322,0.038848645507296206,1.5102533617338438,12,glcm,12
logarithm_glcm_Correlation,0.036999423427483975,0.036987473196690886,0.05013436468071516,0.04174762840675187,0.010959853590497098,0.035383834625933315,0.0467714358335235,1.0931631575208316,26,glcm,13
wavelet-LLL_glcm_Imc2,0.035378212983531825,0.03476731198960056,0.038957905053036125,0.04427241849694346,0.03667919364941239,0.042326657850728755,0.014654889867538311,1.2589311934308223,19,glcm,14
log-sigma-5-0-mm-3D_glcm_MCC,0.035362882807965394,0.03409369060829623,0.03512162869701315,0.034517772746050945,0.01987520596000957,0.06654974249308962,0.020750064143661515,1.120710507801385,24,glcm,15
square_gldm_LowGrayLevelEmphasis,0.03524043640983773,0.033916083293455364,0.0231938618925978,0.03617152526700812,0.02873570386498902,0.05472410087021176,0.033376990154382474,1.475625210905969,13,gldm,16
squareroot_glszm_GrayLevelNonUniformity,0.03352092416623859,0.03248314556857397,0.04141656306002155,0.039404062313274216,0.005910365256242748,0.06859682042085688,0.012276809780797128,0.8974641844762937,34,glszm,17
wavelet-LLH_firstorder_Skewness,0.03321738437955142,0.034881043147168146,0.0295977809293417,0.05290312730882154,0.005534001205473837,0.04953458740312295,0.028517425050997098,0.9798723664988728,32,firstorder,18
logarithm_glcm_ClusterProminence,0.03294500182405315,0.03341271826282313,0.05185900085870394,0.030322069159250686,0.011410292509174974,0.03947502306887405,0.031658623524259216,1.469893403829523,14,glcm,19
lbp-3D-m1_glcm_DifferenceVariance,0.03185193276119265,0.03169874028184372,0.029090938777172646,0.027540861002910907,0.05198638304569095,0.012541939676456868,0.03809954130373145,1.4201766382488645,17,glcm,20
wavelet-LLL_glcm_ClusterShade,0.031578033087809154,0.0307636267060534,0.04636871593646103,0.03239994726213696,0.02243383759319694,0.03317834112566196,0.023509323521591432,1.0545823109380181,28,glcm,21
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.031151372958172583,0.03392679223006079,0.01094465901398917,0.06848582183479746,0.021171819377255954,0.018555269911646577,0.03659929465317671,0.8025052381115328,38,glszm,22
log-sigma-5-0-mm-3D_glcm_Correlation,0.03097769223323201,0.031050808869277267,0.04682878394982948,0.030615446633252184,0.023256533767264838,0.037294251936554966,0.016893444879258094,1.968961971802148,8,glcm,23
