file_stem,ok,why,labels,vox_201,vox_1,n_labels,size,spacing,vox_202,vox_203,has_200plus
1_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",5753,39932,15,"(50, 448, 578)","(3.3211, 0.625, 0.5006)",7556,5256,True
10_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",13667,79608,15,"(15, 768, 768)","(4.4, 0.3646, 0.3646)",11448,15561,True
100_t2,True,ok,"1,2,3,4,5,6,7,8,100,201,202,203,204,205,206,207,208",8090,39628,17,"(21, 492, 797)","(4.3897, 0.6305, 0.3879)",9076,8034,True
101_t2,True,ok,"1,2,3,4,5,6,100,201,202,203,204,205,206",6268,25305,13,"(17, 384, 352)","(4.7906, 0.6771, 0.7409)",6399,4944,True
104_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",3439,19439,15,"(15, 384, 384)","(4.8, 0.7292, 0.7292)",4934,4947,True
105_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",5118,22503,15,"(25, 448, 427)","(3.2937, 0.625, 0.6575)",6282,4602,True
106_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",2925,20300,15,"(15, 384, 384)","(4.4, 0.7292, 0.7292)",4352,5278,True
107_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",4391,40274,15,"(512, 512, 17)","(0.5859, 0.5859, 3.3)",6266,15944,True
108_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",5449,19029,15,"(17, 384, 384)","(4.4, 0.7292, 0.7292)",6488,6846,True
109_t2,True,ok,"1,2,3,4,5,6,7,100,201,202,203,204,205,206,207",3980,83865,15,"(33, 575, 800)","(3.3618, 0.4928, 0.3561)",10629,13602,True
