config,n_features,n_test,macro_AUC,macro_AUC_ci_low,macro_AUC_ci_high,accuracy,macro_sensitivity,macro_specificity,kappa,kappa_quadratic,accuracy_ci_low,accuracy_ci_high,macro_sensitivity_ci_low,macro_sensitivity_ci_high,macro_specificity_ci_low,macro_specificity_ci_high,kappa_ci_low,kappa_ci_high,kappa_quadratic_ci_low,kappa_quadratic_ci_high,n_features_present,n_features_missing,n_patients
3D_primary_official,517.0,126,0.9363060656085932,0.9127925341655584,0.9584426287631588,,,,,,,,,,,,,,,,,,
internal_refit_517_sanity,517.0,126,0.9363060656085933,0.9127925341655583,0.9584426287631587,0.753968253968254,0.6392717086834734,0.9312823167170994,0.6538154746078171,0.8711656441717791,0.6746031746031746,0.8255952380952378,0.5286188672438673,0.7606388070326364,0.9092192000533899,0.9521278605288611,0.547343383507511,0.7544233542616574,0.82707039828872,0.9098716474992883,,,
SPIDER_expert_mask_frozen517,517.0,597,0.8383007705350284,0.81580648380974,0.8599506793254377,0.5360134003350083,0.5205357036505464,0.878052289548936,0.3959829353281078,0.7053117287262582,0.49748743718592964,0.576214405360134,0.47881287748875584,0.5598292433098214,0.8683117668645903,0.8881052175234926,0.34728337117730573,0.445821525321232,0.6535326092280083,0.7484159263160458,517.0,0.0,199.0
SPIDER_mfr=Philips,,315,0.8209548071717103,,,0.5047619047619047,0.4984294851901937,0.8706937332719307,0.3546268813532609,0.7058428475486904,,,,,,,,,,,,,105.0
SPIDER_mfr=SIEMENS,,282,0.8198494034626403,,,0.5709219858156028,0.5070539986329459,0.88749592568405,0.4373485035864457,0.6862659471599238,,,,,,,,,,,,,94.0
SPIDER_field=1.5,,309,0.8571894067249038,,,0.5792880258899676,0.549639646961299,0.8910849997171064,0.45589749146665226,0.739794499381953,,,,,,,,,,,,,103.0
SPIDER_field=3.0,,288,0.8069431564307573,,,0.4895833333333333,0.4811818006554849,0.8656651466840929,0.3304655870445343,0.6709198247952771,,,,,,,,,,,,,96.0
SPIDER_firstorder_only,119.0,597,0.8318497770120304,0.810242785265606,0.8525438260156941,0.5393634840871022,0.48094419885084017,0.8744735031528934,0.3829167449727495,0.6773103496457213,0.5024706867671691,0.5762562814070351,0.44431179771540114,0.5176007882100436,0.8648201390531494,0.8845060020182778,0.33458596104898375,0.43323488692459544,0.6317346961748925,0.7192661502709302,,,
internal_firstorder_only,119.0,126,0.9296928529177613,0.904678655733372,0.9523624114779878,0.6984126984126984,0.5985994397759102,0.9167125279444119,0.5773305084745763,0.8480578827113481,0.6190476190476191,0.7777777777777778,0.4808918740279398,0.7285320906432748,0.8949739278831526,0.9394499062337405,0.46508391856261616,0.6837921267420347,0.7988203431704208,0.8882885953570264,,,
SPIDER_shape_only,7.0,597,0.6993033651833844,0.6779952477515946,0.721197303284774,0.3333333333333333,0.31374278736141736,0.8269936906447635,0.13947036752669173,0.38270171526223384,0.2964824120603015,0.37018425460636517,0.2852750662103965,0.3425485986487605,0.8180300679464739,0.8357304006858716,0.09562459428465335,0.18249907964826118,0.32713005640405046,0.43595631118253303,,,
internal_shape_only,7.0,126,0.7994030816835591,0.7533349112048107,0.8406657774772656,0.48412698412698413,0.4221288515406162,0.8625538980611444,0.2986812810412742,0.6548837209302325,0.3968253968253968,0.5714285714285714,0.32563625120431444,0.5111950926283604,0.8416624447662782,0.8856296613375737,0.20089128223321134,0.40701414377422107,0.5496395283035626,0.7390014336904438,,,
