"Model","Metric","Mean","Lower","Upper","Source"
"Random Forest","(a) AUC",0.941438595718508,0.917182017303269,0.962692198406973,"ten_models_test_performance.csv"
"CatBoost","(a) AUC",0.936306065608593,0.912792534165558,0.958442628763159,"ten_models_test_performance.csv"
"Naive Bayes","(a) AUC",0.914593684604882,0.883829965352771,0.941647055340854,"ten_models_test_performance.csv"
"XGBoost","(a) AUC",0.898012168408385,0.852070239934531,0.937808718946309,"ten_models_test_performance.csv"
"Neural Network","(a) AUC",0.8942284523675,0.857542644475603,0.930515108885577,"ten_models_test_performance.csv"
"Ridge","(a) AUC",0.893330619542916,0.854366633809821,0.929639818490566,"ten_models_test_performance.csv"
"KNN","(a) AUC",0.885799708676016,0.824151929501219,0.940940042796016,"ten_models_test_performance.csv"
"Logistic Regression","(a) AUC",0.876467493943914,0.831941493992482,0.920703059774075,"ten_models_test_performance.csv"
"Lasso","(a) AUC",0.848333147826206,0.785070417742901,0.910350532343964,"ten_models_test_performance.csv"
"Decision Tree","(a) AUC",0.828230233372235,0.772611575105833,0.876149080462975,"ten_models_test_performance.csv"
"Random Forest","(b) Accuracy",0.73015873015873,0.650793650793651,0.80952380952381,"ten_models_test_performance.csv"
"CatBoost","(b) Accuracy",0.753968253968254,0.674603174603175,0.825595238095238,"ten_models_test_performance.csv"
"Naive Bayes","(b) Accuracy",0.682539682539683,0.603174603174603,0.761904761904762,"ten_models_test_performance.csv"
"XGBoost","(b) Accuracy",0.746031746031746,0.666666666666667,0.825396825396825,"ten_models_test_performance.csv"
"Neural Network","(b) Accuracy",0.69047619047619,0.603174603174603,0.76984126984127,"ten_models_test_performance.csv"
"Ridge","(b) Accuracy",0.722222222222222,0.642857142857143,0.801587301587302,"ten_models_test_performance.csv"
"KNN","(b) Accuracy",0.722222222222222,0.64265873015873,0.801785714285714,"ten_models_test_performance.csv"
"Logistic Regression","(b) Accuracy",0.666666666666667,0.587301587301587,0.746031746031746,"ten_models_test_performance.csv"
"Lasso","(b) Accuracy",0.674603174603175,0.595238095238095,0.761904761904762,"ten_models_test_performance.csv"
"Decision Tree","(b) Accuracy",0.603174603174603,0.515873015873016,0.69047619047619,"ten_models_test_performance.csv"
"Random Forest","(d) Sensitivity",0.559365079365079,0.462942079222132,0.660629324908341,"ten_models_test_performance.csv"
"CatBoost","(d) Sensitivity",0.639271708683473,0.528618867243867,0.760638807032636,"ten_models_test_performance.csv"
"Naive Bayes","(d) Sensitivity",0.749075630252101,0.66231637956638,0.820009090887855,"ten_models_test_performance.csv"
"XGBoost","(d) Sensitivity",0.545284780578898,0.456741466866467,0.659565877739985,"ten_models_test_performance.csv"
"Neural Network","(d) Sensitivity",0.537310924369748,0.438148169578805,0.642636599216386,"ten_models_test_performance.csv"
"Ridge","(d) Sensitivity",0.583043884220355,0.464356177495153,0.714983660130719,"ten_models_test_performance.csv"
"KNN","(d) Sensitivity",0.4696918767507,0.424024908202832,0.50969226599842,"ten_models_test_performance.csv"
"Logistic Regression","(d) Sensitivity",0.516358543417367,0.40777298345275,0.650138274664705,"ten_models_test_performance.csv"
"Lasso","(d) Sensitivity",0.57874883286648,0.460630692224442,0.702367775171296,"ten_models_test_performance.csv"
"Decision Tree","(d) Sensitivity",0.519925303454715,0.393118972882029,0.660768375171576,"ten_models_test_performance.csv"
"Random Forest","(e) Specificity",0.922421858871134,0.900797341771266,0.94335953686228,"ten_models_test_performance.csv"
"CatBoost","(e) Specificity",0.931282316717099,0.90921920005339,0.952127860528861,"ten_models_test_performance.csv"
"Naive Bayes","(e) Specificity",0.918854795231607,0.899029758132447,0.938029252246814,"ten_models_test_performance.csv"
"XGBoost","(e) Specificity",0.926381884352899,0.905373657802773,0.948870110178007,"ten_models_test_performance.csv"
"Neural Network","(e) Specificity",0.911600071962391,0.887577587701815,0.933269404561665,"ten_models_test_performance.csv"
"Ridge","(e) Specificity",0.922491107925891,0.90118102394799,0.943917148053303,"ten_models_test_performance.csv"
"KNN","(e) Specificity",0.919445476691854,0.897444189104212,0.941508144055875,"ten_models_test_performance.csv"
"Logistic Regression","(e) Specificity",0.908205010233996,0.885652932768737,0.929701580614212,"ten_models_test_performance.csv"
"Lasso","(e) Specificity",0.911264591554447,0.888489027095262,0.934408652280817,"ten_models_test_performance.csv"
"Decision Tree","(e) Specificity",0.895133631800298,0.873545622074926,0.918429596574565,"ten_models_test_performance.csv"
"Decision Tree","(c) F1",0.502233605751678,0.389366921234384,0.604362330028847,"ten_models_test_predictions.csv"
"Decision Tree","(f) Precision",0.50943018067442,0.409568152410625,0.618512253039514,"ten_models_test_predictions.csv"
"Random Forest","(c) F1",0.559954811270601,0.430646073045697,0.637686260810299,"ten_models_test_predictions.csv"
"Random Forest","(f) Precision",0.587455716586151,0.425209870856324,0.673393523689549,"ten_models_test_predictions.csv"
"XGBoost","(c) F1",0.573046515903659,0.438861197562192,0.701063907021163,"ten_models_test_predictions.csv"
"XGBoost","(f) Precision",0.842289550072569,0.421397491834156,0.879426086303368,"ten_models_test_predictions.csv"
"Lasso","(c) F1",0.573303167420814,0.441978586466311,0.677412398095654,"ten_models_test_predictions.csv"
"Lasso","(f) Precision",0.572696382900986,0.442059473781273,0.718303932345396,"ten_models_test_predictions.csv"
"Ridge","(c) F1",0.60368007942476,0.46418869072851,0.711180379728391,"ten_models_test_predictions.csv"
"Ridge","(f) Precision",0.64742576931517,0.476120642510242,0.831303176526634,"ten_models_test_predictions.csv"
"Neural Network","(c) F1",0.539804875975089,0.414021227558248,0.622451024350919,"ten_models_test_predictions.csv"
"Neural Network","(f) Precision",0.555924950625411,0.401188597039675,0.640229522701992,"ten_models_test_predictions.csv"
"Logistic Regression","(c) F1",0.522918297417927,0.401538268875036,0.628063439484377,"ten_models_test_predictions.csv"
"Logistic Regression","(f) Precision",0.535462365591398,0.400474961230055,0.685768689582077,"ten_models_test_predictions.csv"
"KNN","(c) F1",0.443370531968451,0.394169835631401,0.490448352932791,"ten_models_test_predictions.csv"
"KNN","(f) Precision",0.431777777777778,0.380746836603704,0.481517867202762,"ten_models_test_predictions.csv"
"Naive Bayes","(c) F1",0.63740232853985,0.512409892977961,0.728006924497946,"ten_models_test_predictions.csv"
"Naive Bayes","(f) Precision",0.638389306599833,0.531008418689403,0.732333716137973,"ten_models_test_predictions.csv"
"CatBoost","(c) F1",0.646847329759778,0.520141572946401,0.756874625975631,"ten_models_test_predictions.csv"
"CatBoost","(f) Precision",0.688370927318296,0.516419037940379,0.851069721565078,"ten_models_test_predictions.csv"
